id	text	iset	shellnoun	content	content_phrase	comment
1	Gründe	19390	true	given	6 7 5	_
2	Formen	18930	false	_		_
3	Frage	13052	false	_		_
4	Rechte	13246	false	_		_
5	Fragen	12848	false	_		_
6	Schwierigkeiten	12962	false	_		_
7	Meinung	12996	true	given	139 138	_
8	Fragen	12857	false	_		_
9	Fragen	12905	false	_		_
10	Lage	12623	false	_		_
11	Ziele	12706	false	_		_
12	Lage	12070	false	_		_
13	Lage	12083	false	_		_
14	Frage	12185	true	external		_
15	Schwierigkeiten	869	false	_		_
16	Möglichkeit	1130	false	_		_
17	Plan	963	false	_		_
18	Vorschlägen	1088	true	external		_
19	Schwierigkeiten	919	false	_		_
20	Auffassung	422	false	_		_
21	Fragen	371	true	given	179 178	_
22	Recht	758	false	_		_
23	Ansicht	558	true	given	143	_
24	Recht	658	false	_		_
25	Standpunkt	671	false	_		_
26	Bereitschaft	674	true	given	133	_
27	Recht	524	false	_		_
28	Fragen	20	false	_		_
29	Vorschlag	131	true	external		_
30	Frage	25	false	_		_
31	Recht	122	false	_		_
32	Umständen	360	false	_		_
33	Wille	15665	false	_		_
34	Voraussetzung	15541	true	given	114	_
35	Ansporn	3817	true	given	29	_
36	Voraussetzung	15648	true	given	40	_
37	Gegenargument	3820	true	given	29	_
38	Vorschlägen	15854	false	_		_
39	Voraussetzung	15860	false	_		_
40	dafür	2880	false	_		_
41	Ziel	15461	false	_		_
42	Gefahren	15399	false	_		_
43	Meinung	15303	false	_		_
44	Hinweis	16050	false	_		_
45	Gefahr	16058	true	given	39	_
46	Gefahr	16076	true	given	39	_
47	Antrag	16133	false	_		_
48	Antrag	16189	true	given	36	_
49	Antrag	16246	true	given	35	_
50	Lage	16334	false	_		_
51	Auffassung	15997	true	given	37	_
52	Forderung	15976	true	given	38	_
53	Entscheidungen	14654	false	_		_
54	Frage	14695	false	_		_
55	Frage	14580	true	given	119	_
56	Antrag	14442	false	_		_
57	Recht	14404	false	_		_
58	Vorschläge	14233	false	_		_
59	Auffassung	15189	false	_		_
60	Beschluss	15209	false	_		_
61	Frage	15215	true	external		_
62	Umstand	14992	false	_		_
63	Frage	15127	true	external		_
64	Hinweis	14891	false	_		_
65	Überzeugung	14701	true	given	117	_
66	Möglichkeiten	14899	false	_		_
67	Konvergenzziele	5459	false	_		_
68	Vorschlag	17375	false	_		_
69	Plan	17690	true	given	183	_
70	Vorschlag	17651	true	given	183	_
71	Vorschlag	17561	false	_		_
72	Ziele	17846	true	given	155	_
73	Vorschlag	17790	false	_		_
74	Ziele	17866	true	given	155	_
75	Ziele	17997	true	given	159	_
76	Göteborg-Ziele	4971	false	_		_
77	Tendenz	17889	false	_		_
78	Vorschlag	18033	true	given	168	_
79	Vorschlags	18027	false	_		_
80	dessen	4828	false	_		_
81	Einladung	4985	false	_		_
82	Überzeugung	16572	true	given	53	_
83	Auffassung	16551	true	given	56	_
84	Vorschläge	16741	false	_		_
85	Entscheidungen	16724	false	_		_
86	Entscheidung	16709	false	_		_
87	Möglichkeit	16670	true	given	49	_
88	Forderung	16616	true	given	50	_
89	Fördermöglichkeit	4656	true	given	87	_
90	Kommissionsvorlage	4613	false	_		_
91	Umständen	16593	false	_		_
92	Zusagen	1546	true	given	93	_
93	Möglichkeiten	16529	true	given	54	_
94	Entscheidungen	16837	false	_		_
95	Hoffnung	16896	true	given	51	_
96	Aufgaben	17227	true	given	198 202 200 194 193 196 195	_
97	Hauptziele	4086	false	_		_
98	Bedürfnisse	8155	false	_		_
99	Fragen	24297	false	_		_
100	Entscheidung	24344	true	external		_
101	Antrag	23823	false	_		_
102	Vorschlag	23986	true	external		_
103	Ansicht	24072	false	_		_
104	Meinung	24166	true	given	135	_
105	Grund	18414	true	given	120	_
106	Gründen	8333	false	_		_
107	Selbstbestimmung	18792	false	_		_
108	Fakten	24204	false	_		_
109	daher	7718	false	_		_
110	Bedeutung	7813	false	_		_
111	Darum	23571	false	_		_
