id	sn	cp
1	1	6
2	1	7
3	1	5
4	7	139
5	7	138
6	21	179
7	21	178
8	23	143
9	26	133
10	34	114
11	35	29
12	36	40
13	37	29
14	45	39
15	46	39
16	48	36
17	49	35
18	51	37
19	52	38
20	55	119
21	65	117
22	69	183
23	70	183
24	72	155
25	74	155
26	75	159
27	78	168
28	82	53
29	83	56
30	87	49
31	88	50
32	89	87
33	92	93
34	93	54
35	95	51
36	96	198
37	96	202
38	96	200
39	96	194
40	96	193
41	96	196
42	96	195
43	104	135
44	105	120
45	112	154
46	115	153
47	117	15
48	120	160
49	121	164
50	123	116
51	126	163
52	127	165
53	128	166
54	128	165
55	129	166
56	130	152
57	131	23
58	131	22
59	131	21
60	131	14
61	134	19
62	137	131
63	137	130
64	138	112
65	141	16
66	142	16
67	143	122
68	146	180
69	155	2
70	157	55
71	161	52
72	162	161
73	163	57
74	170	71
75	170	73
76	171	76
77	172	72
78	175	79
79	176	157
80	177	69
81	181	98
82	181	99
83	181	31
84	183	43
85	185	148
86	185	158
87	185	145
88	186	60
89	190	30
90	193	76
91	198	80
92	201	48
93	203	44
94	204	45
95	204	46
96	206	26
97	210	150
98	212	28
99	216	90
100	218	95
101	219	74
102	220	85
103	224	78
104	228	124
105	229	127
106	232	129
107	234	134
108	237	111
109	238	136
110	239	75
111	243	77
112	245	199
113	248	4
114	249	3
115	252	9
116	258	62
117	259	110
118	262	108
119	266	170
120	272	118
121	274	103
122	277	109
123	278	109
124	279	107
125	281	106
126	282	104
127	283	12
128	285	24
129	285	156
130	289	105
131	292	61
132	292	32
133	294	1
134	296	10
135	297	8
136	298	101
137	302	64
138	308	187
139	308	186
140	311	63
141	312	176
142	316	83
143	320	182
144	323	68
145	325	97
146	333	181
147	336	91
148	339	162
149	340	59
150	341	96
151	342	88
152	342	89
153	342	94
154	343	101
155	345	100
156	348	206
157	353	123
158	353	125
159	355	120
160	356	140
161	357	121
162	362	146
163	363	82
164	364	92
165	367	126
166	368	128
167	369	144
168	370	184
169	370	185
170	377	17
171	379	81
172	380	13
173	381	172
174	382	34
175	383	192
176	389	27
177	395	191
178	398	137
179	399	205
180	399	204
181	401	283
182	402	285
183	403	287
184	409	251
185	411	254
186	412	252
187	414	284
188	415	345
189	418	269
190	419	339
191	422	253
192	423	306
193	425	303
194	431	288
195	433	344
196	436	282
197	441	276
198	442	330
199	446	329
200	446	336
201	448	335
202	448	338
203	448	337
204	449	211
205	449	210
206	454	214
207	455	212
208	456	239
209	457	237
210	458	238
211	462	224
212	463	224
213	464	220
214	465	225
215	467	265
216	467	266
217	468	265
218	468	266
219	474	263
220	475	260
221	479	221
222	481	267
223	485	241
224	488	236
225	490	231
226	492	309
227	493	281
228	494	311
229	495	314
230	497	213
231	503	312
232	506	217
233	507	208
234	508	225
235	511	280
236	517	297
237	518	271
238	522	323
239	524	320
240	533	294
241	534	321
242	535	293
243	536	322
244	537	298
245	538	292
246	545	256
247	545	257
248	554	235
249	555	302
250	557	301
251	563	209
252	578	244
253	580	318
254	581	245
255	584	319
256	592	222
257	593	315
258	594	261
259	597	262
260	599	307
261	603	313
262	608	278
263	617	291
264	619	277
265	620	273
266	629	275
267	631	290
268	632	257
269	633	308
270	637	259
271	651	247
272	651	249
273	653	248
274	660	258
275	665	255
276	671	334
277	674	327
278	676	316
279	679	316
280	681	332
281	682	331
282	684	328
283	684	334
284	687	299
285	688	346
286	688	349
287	689	300
288	700	347
289	702	308
290	704	348
291	705	243
292	705	242
293	707	215
294	711	240
295	713	232
296	715	229
297	718	326
298	719	340
299	721	341
300	722	333
301	725	304
302	726	342
303	733	372
304	734	376
305	736	377
306	739	386
307	739	385
308	740	387
309	744	404
310	746	403
311	747	510
312	747	511
313	747	512
314	747	513
315	749	402
316	750	459
317	751	401
318	755	401
319	761	514
320	761	515
321	764	496
322	767	462
323	768	497
324	774	375
325	775	479
326	778	498
327	780	498
328	781	469
329	782	499
330	783	468
331	784	415
332	785	416
333	785	417
334	787	444
335	788	446
336	790	405
337	791	421
338	796	361
339	797	362
340	800	365
341	800	363
342	803	520
343	810	431
344	821	504
345	822	503
346	828	432
347	829	436
348	835	480
349	835	481
350	837	369
351	838	369
352	840	373
353	841	371
354	842	442
355	842	441
356	843	447
357	846	443
358	847	454
359	847	457
360	848	450
361	851	445
362	852	453
363	856	384
364	858	433
365	859	456
366	860	437
367	861	517
368	862	356
369	864	521
370	866	476
371	867	470
372	870	427
373	877	353
374	878	352
375	882	422
376	886	357
377	887	359
378	895	407
379	896	487
380	896	491
381	896	493
382	897	406
383	902	380
384	903	379
385	904	381
386	912	486
387	913	519
388	918	368
389	924	382
390	924	383
391	924	388
392	930	426
393	932	451
394	933	399
395	933	397
396	933	400
397	935	378
398	942	500
399	946	484
400	946	489
401	946	488
402	956	419
403	961	411
404	962	395
405	962	394
406	963	396
407	966	392
408	966	391
409	967	413
410	968	390
411	970	490
412	975	490
413	978	461
414	979	448
415	981	490
416	983	455
417	989	460
418	990	467
419	992	418
420	993	393
421	997	423
422	998	475
423	1002	509
424	1005	393
425	1009	519
426	1010	425
427	1011	522
428	1012	507
429	1013	508
430	1015	472
431	1020	434
432	1028	355
433	1033	435
434	1034	440
435	1035	438
436	1037	471
437	1041	473
438	1043	485
439	1044	492
440	1045	494
441	1049	354
442	1053	458
443	1057	370
444	1061	410
445	1064	464
446	1065	474
447	1070	477
448	1072	505
449	1073	506
450	1074	516
451	1074	523
452	1076	358
453	1079	366
454	1098	414
455	1105	501
456	1106	412
