id	text	iset	shellnoun	content	content_phrase	comment
1	call	20352	true	given	13	_
2	rights	20289	false	_		_
3	issues	20179	false	_		_
4	rights	20086	false	_		_
5	rights	20012	false	_		_
6	demand	20176	true	given	14	_
7	question	20138	true	given	22	_
8	fact	13760	false	_		_
9	decisions	13944	false	_		_
10	objectives	13089	false	_		_
11	needs	12795	true	given	97	_
12	efforts	12847	true	given	94	_
13	aim	12988	true	given	143	_
14	reasons	12335	true	given	26 27	_
15	fact	12708	true	given	93	_
16	suggestion	1129	true	external		_
17	needs	1043	false	_		_
18	needs	1074	false	_		_
19	intention	950	true	given	132	_
20	needs	1004	false	_		_
21	reason	720	true	given	126	_
22	needs	845	false	_		_
23	fact	342	true	given	130	_
24	suggestion	132	true	external		_
25	reasons	138	true	external		_
26	requirement	16443	true	given	42	_
27	point	3921	true	given	72	_
28	need	16554	true	given	41	_
29	proposals	16660	false	_		_
30	opinion	4078	true	given	96 99	_
31	fact	16888	true	given	37	_
32	need	16804	true	given	38	_
33	requirements	15125	true	given	115 116	_
34	conclusion	14833	false	_		_
35	fact	14811	true	given	109	_
36	proposals	14802	false	_		_
37	fact	15841	true	given	107	_
38	fact	15774	false	_		_
39	possibilities	15598	false	_		_
40	question	5454	true	given	58	_
41	ideas	18435	false	_		_
42	Plan	5479	false	_		_
43	proposal	18432	false	_		_
44	fact	18429	true	given	185	_
45	Plan	6359	false	_		_
46	proposal	18566	true	given	198	_
47	capacity	6124	true	given	62	_
48	proposal	18771	false	_		_
49	conclusion	18760	true	given	195	_
50	matter	31	true	given	77	_
51	aims	18837	true	given	152 154	_
52	argument	18817	true	given	165	_
53	aims	18859	true	given	154 152	_
54	issue	4715	false	_		_
55	Position	5026	false	_		_
56	rights	19950	false	_		_
57	right	19883	true	given	89	_
58	conviction	17355	true	given	56	_
59	ability	17323	true	given	55	_
60	Position	4833	false	_		_
61	trend	19921	true	given	84	_
62	decisions	17597	false	_		_
63	decisions	17504	false	_		_
64	proposal	18235	false	_		_
65	reasons	18190	unclear	undefined		_
66	views	4652	false	_		_
67	difficulties	4674	false	_		_
68	requirements	18253	false	_		_
69	difficulties	4687	false	_		_
70	amendment	4701	false	_		_
71	hope	17663	true	given	57	_
72	amendments	4533	false	_		_
73	aim	17749	true	given	48	_
74	point	25098	false	_		_
75	duties	25085	false	_		_
76	view	25383	false	_		_
77	right	24936	true	given	111	_
78	facts	25530	false	_		_
79	failure	25432	false	_		_
80	right	25065	true	given	110	_
81	decision	25689	true	external		_
82	proposal	25284	true	external		_
83	circumstances	8527	false	_		_
84	way	8421	true	given	155	_
85	call	9040	true	given	120	_
86	questions	25636	false	_		_
87	opinion	561	true	given	136	_
88	rights	19808	true	given	142	_
89	right	19823	true	given	199 200	_
90	question	42	true	given	137	_
91	right	19854	true	given	145	_
92	right	24873	true	given	166	_
93	justice	24780	false	_		_
94	objective	24793	true	given	151	_
95	reason	24825	true	given	150	_
96	impression	24712	true	given	18	_
97	situation	7810	false	_		_
98	impression	24728	true	given	19	_
99	situation	7558	false	_		_
100	rise	18888	false	_		_
101	willingness	7242	true	given	163	_
102	duties	24990	false	_		_
103	rights	24886	true	given	166 168	_
104	right	24880	true	given	168	_
105	decisions	24950	false	_		_
106	ways	7049	false	_		_
107	idea	24906	true	given	149	_
108	question	19143	false	_		_
109	situations	6211	false	_		_
110	issue	19313	true	given	178	inkorporiert?
111	issues	6423	false	_		_
112	need	23957	false	_		_
113	decisions	13949	true	given	134 133	_
114	fact	14092	true	given	129	_
115	opportunities	14274	false	_		_
116	ability	24097	true	given	23	_
117	decision	14419	true	given	106	_
118	fact	24090	false	_		_
119	courage	14758	false	_		_
120	plan	18636	true	given	194	_
121	opportunity	14643	false	_		_
122	promise	24218	true	given	21	_
123	proposal	14568	false	_		_
124	proposal	24142	false	_		_
125	risk	16859	true	given	206	inkorporiert?
126	risk	16866	true	given	206	_
127	request	17411	true	given	203	_
128	circumstances	17380	false	_		_
129	amendment	16953	false	_		_
130	risk	16891	true	given	206	_
131	thing	9379	true	given	80	_
132	potential	9591	true	given	211	_
133	option	17455	false	_		_
134	functions	18044	true	given	189 188 187 184 183 182 181	_
135	position	23475	false	_		_
136	point of order	23141 23142 23143	true	given	2	_
137	issue	22953	false	_		_
138	issues	23073	false	_		_
139	issues	23085	false	_		_
140	views	23106	false	_		_
141	Position	24421	false	_		_
142	duty	24302	true	given	20	_
143	way	24188	true	given	21	_
144	matter	24084	false	_		_
145	matter	24094	false	_		_
146	right	23848	true	given	24	_
147	malice	23907	false	_		_
148	problems	23948	false	_		_
149	needs	7705	false	_		_
150	need	7986	true	given	45	_
151	needs	8000	false	_		_
152	reason	7886	true	given	44	_
153	proposals	7968	true	given	146 147 139	_
