id	text	iset	np_replfirst_noun	annotationcompleted	np_replfirst_deverbal	namely_difficultcase	np_replalternative	np_repl_difficultcase	namely_majordivergingantecedent	candidateanaphor	namelytest_naemlich	np_replfirst_article	namely_antecedent
1	Es	101		yes						error_wrong_marking			
2	es	35		yes						error_no_discourse_anaphor			
3	es	28		yes						error_no_discourse_anaphor			
4	es	119		yes						error_wrong_marking			
5	es	709		yes						error_wrong_marking			
6	das	357	na	yes	na	yes	na	yes	yes	discourse_anaphor	naemlich, wie wir die strategie von lissabon aktuell praesntieren	na	3
7	es	364		yes						error_wrong_marking			
8	es	717		yes						error_wrong_marking			
9	es	517		yes						error_wrong_marking			
10	das	1079		yes						error_no_discourse_anaphor			
11	es	945		yes						error_no_discourse_anaphor			
12	es	1022		yes						error_no_discourse_anaphor			
13	Das	1058	entwicklung	yes	na	na	yes	na	na	discourse_anaphor	ob europol und eurojust genauso in der lage sind, sich um diesen bereich zu kuemmern .	diese	5
14	das	1067	entwicklung	yes	na	na	yes	na	na	discourse_anaphor	ob europol und eurojut genauso in der lage sein , sich um diesen bereich zu kuemmern .	diese	5
15	Das	1036	massnahme	yes	na	na	yes	na	na	discourse_anaphor	dass es fuer die von uns erhoffte europaweite telefonaktion , diese hotline , gibt [es] bisher nur eine ansage :   ' kein anschluss unter dieser nummer ' .	diese	4
16	es	1454		yes						error_no_discourse_anaphor			
17	es	1341		yes						deictic			
18	es	1223	forderung	yes	na	yes	yes	na	na	discourse_anaphor	dass wir  uns darauf konzentrieren sollten, die rechte , die das parlament hat , der oeffentlichkeit zu zeigen .	eine_solche	7
19	Das	1214	vorgang	yes	na	na	yes	na	na	discourse_anaphor	dass wir ermahnt werden , wir sollen uns kurz fassen	diese	6
20	es	1445		yes						error_no_discourse_anaphor			
21	es	1310		yes						error_no_discourse_anaphor			
22	es	1241		na						na			
23	Es	1616		yes						error_wrong_marking			
24	es	1547		yes						error_wrong_marking			
25	es	1793		yes						error_no_discourse_anaphor			
26	das	1604		yes						error_no_discourse_anaphor			
27	das	1662		yes						error_no_discourse_anaphor			
28	Das	1650		yes						error_no_discourse_anaphor			
29	es	1482		yes						error_no_discourse_anaphor			
30	das	1694		yes						error_no_discourse_anaphor			
31	das	1494		yes						error_wrong_marking			
32	es	1679		yes						error_wrong_marking			
33	das	1992	na	yes	yes	na	na	na	na	discourse_anaphor	naemlich das zweite argument der ueberlastung	na	8
34	Es	1886		yes						error_wrong_marking			
35	Das	1837		yes						error_no_discourse_anaphor			
36	Das	1896	na	yes	na	na	na	na	na	discourse_anaphor	naemlich eines der zwei argumente , die haeufig genannt werden	na	11
37	es	1847		yes						error_no_discourse_anaphor			
38	Das	1917	ansicht	yes	na	na	na	na	na	discourse_anaphor	naemlich, dass religionen und kulturen in der europaeischen union hierarchisiert werden	diese	10
39	es	2010		yes						error_wrong_marking			
40	Das	1977	na	yes	yes	na	na	na	yes	discourse_anaphor	naemlich, das zweite argument der ueberlastung	na	8
41	das	1903	na	yes	yes	yes	na	na	yes	discourse_anaphor	naemlich das argument	na	9
42	es	1954		yes						error_wrong_marking			
43	es	2046		yes						error_wrong_marking			
